D003,Fanta Orange,1,3.00,2023-08-24 01:27:42
D004,Fanta Grape,1,3.00,2023-08-24 01:27:46
D007,Sprite,1,2.50,2023-08-24 01:27:48
D007,Sprite,1,2.50,2023-08-24 01:27:51
D001,Coca Cola,1,2.50,2023-08-24 01:27:53
D001,Coca Cola,1,2.50,2023-08-24 01:27:55
D001,Coca Cola,1,2.50,2023-08-24 01:27:58
D001,Coca Cola,1,2.50,2023-08-24 01:28:02
D001,Coca Cola,1,2.50,2023-08-24 01:28:07
D001,Coca Cola,1,2.50,2023-08-24 01:28:10
D008,Mineral Water,1,1.50,2023-08-24 01:28:12
D002,Cola Zero,1,2.50,2023-08-24 01:28:14
D001,Coca Cola,1,2.50,2023-08-24 01:28:17
D004,Fanta Grape,1,3.00,2023-08-24 01:31:19
D007,Sprite,1,2.50,2023-08-24 02:35:34
D007,Sprite,1,2.50,2023-08-24 02:35:38
D007,Sprite,1,2.50,2023-08-24 02:36:07
D007,Sprite,1,2.50,2023-08-24 02:36:10
D006,Pepsi,1,2.50,2023-08-24 02:36:10
D006,Pepsi,1,2.50,2023-08-24 02:36:10
D002,Cola Zero,1,2.50,2023-08-24 02:54:44
D003,Fanta Orange,1,3.00,2023-08-24 02:56:48
D004,Fanta Grape,1,3.00,2023-08-24 02:56:57
D003,Fanta Orange,1,3.00,2023-08-24 10:51:16
D003,Fanta Orange,1,3.00,2023-08-24 12:37:27
D006,Pepsi,1,2.50,2023-08-24 12:38:08
